iter	Passed	Remaining
0	70	70715
1	123	61782
2	193	64420
3	259	64554
4	338	67385
5	402	66708
6	474	67271
7	556	68958
8	622	68547
9	680	67405
10	752	67662
11	808	66593
12	886	67327
13	967	68108
14	1022	67146
15	1078	66344
16	1125	65084
17	1177	64217
18	1233	63700
19	1284	62945
20	1352	63056
21	1406	62547
22	1463	62170
23	1516	61688
24	1574	61423
25	1659	62160
26	1725	62165
27	1777	61697
28	1840	61613
29	1898	61374
30	1955	61129
31	2040	61727
32	2100	61539
33	2153	61189
34	2230	61496
35	2286	61230
36	2353	61261
37	2408	60972
38	2466	60786
39	2527	60662
40	2583	60422
41	2651	60487
42	2718	60495
43	2767	60133
44	2833	60133
45	2900	60155
46	2967	60169
47	3016	59835
48	3071	59606
49	3119	59272
50	3172	59035
51	3225	58802
52	3273	58499
53	3323	58230
54	3374	57985
55	3429	57804
56	3474	57489
57	3551	57675
58	3608	57550
59	3663	57399
60	3712	57145
61	3762	56922
62	3807	56625
63	3852	56348
64	3914	56301
65	3960	56050
66	4022	56021
67	4071	55800
68	4132	55764
69	4190	55679
70	4245	55544
71	4306	55503
72	4369	55482
73	4453	55732
74	4513	55670
75	4566	55516
76	4633	55538
77	4681	55332
78	4753	55414
79	4815	55378
80	4865	55203
81	4923	55121
82	4980	55028
83	5045	55022
84	5119	55109
85	5169	54939
86	5224	54831
87	5278	54703
88	5332	54583
89	5392	54525
90	5438	54329
91	5491	54199
92	5516	53803
93	5564	53636
94	5584	53203
95	5634	53056
96	5683	52908
97	5737	52806
98	5806	52843
99	5858	52725
100	5877	52313
101	5944	52333
102	5997	52234
103	6054	52158
104	6098	51984
105	6150	51869
106	6219	51909
107	6267	51766
108	6319	51661
109	6365	51501
110	6419	51416
111	6474	51337
112	6520	51185
113	6580	51139
114	6634	51060
115	6701	51066
116	6751	50951
117	6815	50940
118	6884	50969
119	6943	50921
120	6996	50822
121	7053	50763
122	7179	51187
123	7290	51503
124	7380	51664
125	7518	52150
126	7609	52304
127	7696	52431
128	7823	52822
129	7914	52964
130	8053	53420
131	8206	53965
132	8323	54259
133	8460	54678
134	8552	54799
135	8673	55102
136	8799	55433
137	8900	55595
138	9023	55893
139	9133	56104
140	9260	56419
141	9359	56552
142	9427	56497
143	9484	56377
144	9544	56282
145	9608	56200
146	9674	56135
147	9751	56134
148	9808	56022
149	9928	56263
150	10056	56544
151	10165	56711
152	10267	56839
153	10383	57040
154	10543	57480
155	10636	57544
156	10734	57640
157	10841	57775
158	10935	57838
159	11089	58217
160	11199	58363
161	11364	58786
162	11487	58986
163	11609	59178
164	11710	59264
165	11844	59507
166	11905	59382
167	11964	59254
168	12043	59219
169	12107	59111
170	12165	58980
171	12260	59020
172	12351	59042
173	12416	58944
174	12487	58868
175	12553	58775
176	12608	58627
177	12667	58499
178	12723	58359
179	12786	58248
180	12838	58092
181	12898	57970
182	12954	57834
183	13008	57688
184	13058	57526
185	13132	57471
186	13199	57387
187	13270	57315
188	13327	57190
189	13387	57074
190	13464	57030
191	13516	56881
192	13571	56746
193	13633	56640
194	13684	56490
195	13738	56355
196	13790	56211
197	13840	56061
198	13895	55931
199	13965	55861
200	14022	55741
201	14095	55686
202	14179	55668
203	14232	55534
204	14288	55412
205	14340	55272
